index,richness,sampling_effort,mean_fnr
21,12,950,0.0002631578947368421
21,12,1000,0.0
21,12,1050,0.0002631578947368421
21,12,1100,0.002631578947368421
21,12,1150,0.0005263157894736842
21,12,1200,0.002105263157894737
21,12,1250,0.0036842105263157894
21,12,1300,0.0007894736842105263
21,12,1350,0.0
21,12,1400,0.0010526315789473684
21,12,1450,0.0
21,12,1500,0.0
22,12,1,1.0
22,12,25,0.47517513171383136
22,12,50,0.2670870313037496
22,12,100,0.11441692466460268
22,12,150,0.05719298245614035
22,12,200,0.033128654970760237
22,12,250,0.024576023391812866
22,12,300,0.01605263157894737
22,12,350,0.013947368421052632
22,12,400,0.013421052631578946
22,12,450,0.007105263157894737
22,12,500,0.005263157894736842
22,12,550,0.006432748538011695
22,12,600,0.002631578947368421
22,12,650,0.003421052631578947
22,12,700,0.002105263157894737
22,12,750,0.003947368421052632
22,12,800,0.0
22,12,850,0.0015789473684210526
22,12,900,0.002105263157894737
22,12,950,0.0
22,12,1000,0.0007894736842105263
22,12,1050,0.0007894736842105263
22,12,1100,0.0
22,12,1150,0.0
22,12,1200,0.0002631578947368421
22,12,1250,0.002105263157894737
22,12,1300,0.0
22,12,1350,0.0002631578947368421
22,12,1400,0.0013157894736842105
22,12,1450,0.0010526315789473684
22,12,1500,0.0
23,12,1,1.0
23,12,25,0.49024839661355685
23,12,50,0.2791650386650387
23,12,100,0.12420001613967133
23,12,150,0.06040435139573071
23,12,200,0.03896551724137931
23,12,250,0.02388546798029557
23,12,300,0.012992610837438426
23,12,350,0.014538177339901476
23,12,400,0.010092364532019704
23,12,450,0.003965517241379311
23,12,500,0.005
23,12,550,0.007241379310344828
23,12,600,0.0022413793103448275
23,12,650,0.001724137931034483
23,12,700,0.0020689655172413794
23,12,750,0.0
23,12,800,0.001379310344827586
23,12,850,0.004482758620689655
23,12,900,0.0010344827586206897
23,12,950,0.0005172413793103448
23,12,1000,0.0
23,12,1050,0.0
23,12,1100,0.001724137931034483
23,12,1150,0.0018965517241379308
23,12,1200,0.001724137931034483
23,12,1250,0.0
23,12,1300,0.0
23,12,1350,0.0
23,12,1400,0.0005172413793103448
23,12,1450,0.0
23,12,1500,0.0
24,12,1,1.0
24,12,25,0.4751117317313861
24,12,50,0.2787167989968333
24,12,100,0.10772592226613964
24,12,150,0.05775108695652174
24,12,200,0.04051666666666666
24,12,250,0.0218
24,12,300,0.013400000000000002
24,12,350,0.0143
24,12,400,0.0094
24,12,450,0.0024000000000000002
24,12,500,0.005475
24,12,550,0.0058
24,12,600,0.0052
24,12,650,0.0012
24,12,700,0.0038
24,12,750,0.0024000000000000002
24,12,800,0.0
24,12,850,0.001
24,12,900,0.0
24,12,950,0.0
24,12,1000,0.0004
24,12,1050,0.0012
24,12,1100,0.0012
24,12,1150,0.0
24,12,1200,0.0
24,12,1250,0.0012
24,12,1300,0.0
24,12,1350,0.001
